s,-0.1,-0.1,0.7,
j,1.38014,-0.407773,0.286372,1.94572,
j,1.38119,-0.407643,0.286802,1.94501,
j,1.38226,-0.407406,0.287691,1.94405,
j,1.38337,-0.407063,0.288955,1.94283,
j,1.3845,-0.406611,0.290582,1.94141,
j,1.38566,-0.406064,0.292402,1.93981,
j,1.38685,-0.405428,0.294414,1.93808,
j,1.38805,-0.404717,0.296536,1.93634,
j,1.38928,-0.403946,0.298704,1.93465,
j,1.39052,-0.403119,0.30095,1.93305,
j,1.39177,-0.402251,0.30317,1.93141,
j,1.39303,-0.401351,0.30535,1.9296,
j,1.39429,-0.400425,0.307559,1.92768,
j,1.39557,-0.39948,0.309835,1.92577,
j,1.39686,-0.398529,0.312087,1.92395,
j,1.39815,-0.397593,0.314212,1.92225,
j,1.39944,-0.396675,0.316274,1.92068,
j,1.40074,-0.395769,0.318367,1.91922,
j,1.40204,-0.394883,0.320426,1.91787,
j,1.40335,-0.394029,0.322362,1.91664,
j,1.40465,-0.393218,0.32414,1.91553,
j,1.40595,-0.392444,0.325852,1.91452,
j,1.40725,-0.391708,0.327504,1.91358,
j,1.40855,-0.391015,0.329038,1.91274,
j,1.40984,-0.390371,0.330431,1.91198,
j,1.41112,-0.389778,0.331681,1.9113,
j,1.4124,-0.389248,0.332691,1.91071,
j,1.41367,-0.388785,0.333466,1.91021,
j,1.41492,-0.388409,0.33388,1.90983,
j,1.41615,-0.388123,0.33397,1.90954,
j,1.41736,-0.387925,0.333795,1.90935,
j,1.41855,-0.387822,0.333325,1.90924,
j,1.41971,-0.387814,0.332561,1.90922,
j,1.42085,-0.387891,0.331617,1.90926,
j,1.42198,-0.388043,0.330514,1.90935,
j,1.42308,-0.388263,0.329306,1.90949,
j,1.42417,-0.38853,0.328085,1.90965,
j,1.42524,-0.388841,0.326792,1.90983,
j,1.42631,-0.389187,0.325443,1.91005,
j,1.42736,-0.389553,0.324111,1.91027,
j,1.42841,-0.389923,0.322828,1.91049,
j,1.42945,-0.390288,0.321607,1.9107,
j,1.43049,-0.390637,0.320452,1.9109,
j,1.43152,-0.390974,0.319261,1.91111,
j,1.43255,-0.391309,0.317928,1.91135,
j,1.43357,-0.39164,0.316514,1.9116,
j,1.43458,-0.391954,0.315113,1.91185,
j,1.43559,-0.392244,0.313768,1.91208,
j,1.4366,-0.392518,0.312393,1.91232,
j,1.43759,-0.392776,0.310991,1.91257,
j,1.43859,-0.393021,0.309514,1.91269,
j,1.43957,-0.393256,0.307988,1.91268,
j,1.44055,-0.393501,0.306304,1.91277,
j,1.44152,-0.393774,0.304394,1.91304,
j,1.44247,-0.394078,0.302295,1.91341,
j,1.4434,-0.394404,0.30013,1.91383,
j,1.44433,-0.394741,0.298033,1.91438,
j,1.44525,-0.395077,0.296056,1.91506,
j,1.44616,-0.395402,0.294211,1.91577,
j,1.44708,-0.39571,0.292496,1.91647,
j,1.44799,-0.395993,0.290905,1.91712,
j,1.44891,-0.39625,0.28943,1.91771,
j,1.44983,-0.396477,0.288063,1.91826,
